P10, Sound, Beeps, Sad, 2, 2, 3, 2
P10, Sound, Beeps, Happy, 1, 5, 4, 5
P10, Sound, Beeps, Surprised, 4, 5, 5, 3
P10, Sound, Beeps, Scared, 1, 4, 4, 4
P10, Sound, Beeps, Angry, 5, 4, 4, 4
P10, Sound, Animalese, Sad, 0, 1, 2, 1
P10, Sound, Animalese, Scared, 0, 1, 1, 1
P10, Sound, Animalese, Happy, 5, 4, 4, 4
P10, Sound, Animalese, Angry, 4, 3, 2, 3
P10, Sound, Animalese, Surprised, 5, 4, 3, 4
P10, Sound, CatNoises, Angry, 4, 2, 2, 3
P10, Sound, CatNoises, Happy, 1, 5, 5, 4
P10, Sound, CatNoises, Surprised, 4, 5, 5, 5
P10, Sound, CatNoises, Sad, 2, 5, 5, 5
P10, Sound, CatNoises, Scared, 2, 4, 4, 4
P10, Sound, HumanNoises, Scared, 3, 4, 5, 1
P10, Sound, HumanNoises, Angry, 3, 5, 4, 1
P10, Sound, HumanNoises, Happy, 1, 5, 5, 1
P10, Sound, HumanNoises, Sad, 2, 2, 2, 1
P10, Sound, HumanNoises, Surprised, 0, 4, 4, 1
P10, Sound, Musical, Angry, 1, 5, 5, 2
P10, Sound, Musical, Happy, 1, 5, 5, 3
P10, Sound, Musical, Scared, 5, 4, 4, 3
P10, Sound, Musical, Surprised, 1, 2, 2, 3
P10, Sound, Musical, Sad, 2, 5, 5, 4
P10, FacialExpression, MechaScreenFace, Scared, 0, 2, 2, 3
P10, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 5
P10, FacialExpression, MechaScreenFace, Angry, 3, 5, 5, 5
P10, FacialExpression, MechaScreenFace, Surprised, 5, 5, 5, 5
P10, FacialExpression, MechaScreenFace, Happy, 1, 5, 4, 4
P10, FacialExpression, ZoomorphicAbs, Angry, 0, 4, 2, 3
P10, FacialExpression, ZoomorphicAbs, Surprised, 5, 5, 5, 5
P10, FacialExpression, ZoomorphicAbs, Sad, 2, 5, 4, 4
P10, FacialExpression, ZoomorphicAbs, Scared, 4, 2, 3, 3
P10, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 3, 3
P10, FacialExpression, MechaEmoji, Sad, 0, 2, 2, 1
P10, FacialExpression, MechaEmoji, Surprised, 3, 2, 1, 1
P10, FacialExpression, MechaEmoji, Angry, 3, 5, 5, 3
P10, FacialExpression, MechaEmoji, Scared, 5, 5, 4, 4
P10, FacialExpression, MechaEmoji, Happy, 1, 4, 5, 5
P10, FacialExpression, ZoomorphicReal, Angry, 0, 4, 3, 2
P10, FacialExpression, ZoomorphicReal, Sad, 2, 4, 3, 3
P10, FacialExpression, ZoomorphicReal, Happy, 1, 5, 5, 4
P10, FacialExpression, ZoomorphicReal, Scared, 2, 5, 5, 5
P10, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P10, FacialExpression, AnthroManga, Sad, 2, 5, 5, 3
P10, FacialExpression, AnthroManga, Angry, 3, 5, 5, 4
P10, FacialExpression, AnthroManga, Scared, 4, 5, 4, 4
P10, FacialExpression, AnthroManga, Surprised, 4, 4, 3, 3
P10, FacialExpression, AnthroManga, Happy, 1, 5, 2, 1
P10, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P10, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P10, FacialExpression, AnthroAbs, Surprised, 5, 5, 5, 5
P10, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P10, FacialExpression, AnthroAbs, Scared, 2, 5, 5, 5
