P11, FacialExpression, ZoomorphicAbs, Scared, 0, 3, 2, 1
P11, FacialExpression, ZoomorphicAbs, Sad, 0, 3, 1, 1
P11, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 4, 4
P11, FacialExpression, ZoomorphicAbs, Angry, 0, 2, 2, 1
P11, FacialExpression, ZoomorphicAbs, Surprised, 5, 5, 5, 5
P11, FacialExpression, ZoomorphicReal, Angry, 3, 4, 4, 3
P11, FacialExpression, ZoomorphicReal, Happy, 1, 5, 4, 5
P11, FacialExpression, ZoomorphicReal, Scared, 2, 5, 5, 5
P11, FacialExpression, ZoomorphicReal, Surprised, 5, 4, 5, 5
P11, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 5
P11, FacialExpression, MechaScreenFace, Angry, 3, 5, 2, 3
P11, FacialExpression, MechaScreenFace, Surprised, 5, 5, 5, 5
P11, FacialExpression, MechaScreenFace, Sad, 2, 5, 4, 5
P11, FacialExpression, MechaScreenFace, Scared, 4, 5, 4, 5
P11, FacialExpression, MechaScreenFace, Happy, 3, 5, 4, 4
P11, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P11, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P11, FacialExpression, AnthroAbs, Angry, 3, 5, 4, 3
P11, FacialExpression, AnthroAbs, Surprised, 5, 5, 5, 5
P11, FacialExpression, AnthroAbs, Scared, 2, 5, 5, 5
P11, FacialExpression, MechaEmoji, Sad, 2, 5, 2, 1
P11, FacialExpression, MechaEmoji, Happy, 1, 5, 2, 3
P11, FacialExpression, MechaEmoji, Surprised, 5, 5, 4, 5
P11, FacialExpression, MechaEmoji, Scared, 4, 5, 4, 4
P11, FacialExpression, MechaEmoji, Angry, 3, 5, 2, 3
P11, FacialExpression, AnthroManga, Scared, 4, 4, 4, 3
P11, FacialExpression, AnthroManga, Happy, 1, 5, 4, 5
P11, FacialExpression, AnthroManga, Surprised, 5, 5, 5, 5
P11, FacialExpression, AnthroManga, Sad, 2, 5, 5, 4
P11, FacialExpression, AnthroManga, Angry, 3, 5, 5, 5
P11, Sound, HumanNoises, Surprised, 4, 5, 5, 4
P11, Sound, HumanNoises, Sad, 2, 5, 4, 4
P11, Sound, HumanNoises, Happy, 1, 4, 4, 4
P11, Sound, HumanNoises, Angry, 3, 5, 4, 4
P11, Sound, HumanNoises, Scared, 5, 2, 3, 2
P11, Sound, Animalese, Surprised, 5, 3, 4, 4
P11, Sound, Animalese, Angry, 3, 4, 3, 3
P11, Sound, Animalese, Scared, 0, 3, 1, 3
P11, Sound, Animalese, Happy, 5, 2, 2, 2
P11, Sound, Animalese, Sad, 3, 4, 2, 3
P11, Sound, Musical, Angry, 4, 4, 4, 3
P11, Sound, Musical, Surprised, 2, 4, 4, 4
P11, Sound, Musical, Happy, 1, 5, 5, 4
P11, Sound, Musical, Sad, 2, 5, 4, 4
P11, Sound, Musical, Scared, 4, 4, 2, 4
P11, Sound, Beeps, Happy, 5, 2, 2, 4
P11, Sound, Beeps, Scared, 0, 1, 1, 2
P11, Sound, Beeps, Sad, 2, 4, 4, 4
P11, Sound, Beeps, Angry, 5, 4, 4, 4
P11, Sound, Beeps, Surprised, 4, 4, 3, 4
P11, Sound, CatNoises, Happy, 0, 1, 1, 2
P11, Sound, CatNoises, Scared, 2, 4, 4, 4
P11, Sound, CatNoises, Angry, 0, 1, 1, 3
P11, Sound, CatNoises, Surprised, 3, 5, 5, 5
P11, Sound, CatNoises, Sad, 1, 4, 4, 4
