P12, Sound, Musical, Happy, 1, 1, 1, 5
P12, Sound, Musical, Scared, 4, 4, 4, 3
P12, Sound, Musical, Surprised, 2, 5, 5, 5
P12, Sound, Musical, Sad, 2, 5, 5, 5
P12, Sound, Musical, Angry, 5, 4, 3, 4
P12, Sound, CatNoises, Angry, 0, 3, 1, 1
P12, Sound, CatNoises, Happy, 1, 5, 5, 5
P12, Sound, CatNoises, Scared, 0, 1, 1, 1
P12, Sound, CatNoises, Sad, 1, 3, 2, 2
P12, Sound, CatNoises, Surprised, 3, 5, 5, 5
P12, Sound, HumanNoises, Angry, 3, 5, 4, 4
P12, Sound, HumanNoises, Sad, 2, 5, 5, 5
P12, Sound, HumanNoises, Surprised, 4, 5, 5, 5
P12, Sound, HumanNoises, Happy, 1, 5, 5, 5
P12, Sound, HumanNoises, Scared, 4, 4, 4, 4
P12, Sound, Beeps, Happy, 0, 1, 1, 1
P12, Sound, Beeps, Scared, 0, 1, 1, 1
P12, Sound, Beeps, Surprised, 4, 2, 2, 2
P12, Sound, Beeps, Angry, 0, 1, 1, 1
P12, Sound, Beeps, Sad, 0, 1, 1, 1
P12, Sound, Animalese, Happy, 1, 4, 4, 4
P12, Sound, Animalese, Scared, 5, 4, 4, 4
P12, Sound, Animalese, Sad, 0, 1, 1, 1
P12, Sound, Animalese, Angry, 0, 1, 1, 1
P12, Sound, Animalese, Surprised, 5, 4, 3, 3
P12, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P12, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 5
P12, FacialExpression, ZoomorphicReal, Scared, 5, 4, 4, 4
P12, FacialExpression, ZoomorphicReal, Happy, 3, 5, 5, 5
P12, FacialExpression, ZoomorphicReal, Angry, 3, 5, 5, 5
P12, FacialExpression, AnthroAbs, Scared, 2, 5, 5, 5
P12, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P12, FacialExpression, AnthroAbs, Sad, 4, 4, 4, 4
P12, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P12, FacialExpression, AnthroAbs, Surprised, 1, 5, 5, 5
P12, FacialExpression, ZoomorphicAbs, Scared, 4, 4, 4, 4
P12, FacialExpression, ZoomorphicAbs, Angry, 0, 1, 1, 1
P12, FacialExpression, ZoomorphicAbs, Surprised, 5, 5, 5, 5
P12, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 4, 4
P12, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 4, 4
P12, FacialExpression, AnthroManga, Happy, 1, 5, 5, 5
P12, FacialExpression, AnthroManga, Angry, 3, 5, 5, 5
P12, FacialExpression, AnthroManga, Sad, 2, 5, 5, 5
P12, FacialExpression, AnthroManga, Scared, 4, 5, 5, 5
P12, FacialExpression, AnthroManga, Surprised, 5, 3, 2, 2
P12, FacialExpression, MechaScreenFace, Angry, 3, 5, 5, 5
P12, FacialExpression, MechaScreenFace, Surprised, 4, 5, 5, 5
P12, FacialExpression, MechaScreenFace, Happy, 3, 4, 3, 2
P12, FacialExpression, MechaScreenFace, Scared, 5, 4, 4, 4
P12, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 5
P12, FacialExpression, MechaEmoji, Sad, 3, 2, 2, 2
P12, FacialExpression, MechaEmoji, Scared, 5, 5, 5, 5
P12, FacialExpression, MechaEmoji, Happy, 1, 5, 5, 5
P12, FacialExpression, MechaEmoji, Angry, 3, 5, 5, 5
P12, FacialExpression, MechaEmoji, Surprised, 5, 2, 2, 2
