P13, FacialExpression, AnthroAbs, Surprised, 1, 5, 3, 4
P13, FacialExpression, AnthroAbs, Scared, 2, 4, 3, 4
P13, FacialExpression, AnthroAbs, Angry, 3, 4, 3, 2
P13, FacialExpression, AnthroAbs, Sad, 2, 4, 4, 3
P13, FacialExpression, AnthroAbs, Happy, 1, 4, 4, 3
P13, FacialExpression, AnthroManga, Scared, 4, 4, 3, 3
P13, FacialExpression, AnthroManga, Angry, 3, 4, 3, 3
P13, FacialExpression, AnthroManga, Surprised, 5, 4, 3, 4
P13, FacialExpression, AnthroManga, Sad, 2, 5, 4, 3
P13, FacialExpression, AnthroManga, Happy, 1, 5, 4, 4
P13, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 3, 5
P13, FacialExpression, ZoomorphicReal, Sad, 2, 5, 4, 4
P13, FacialExpression, ZoomorphicReal, Angry, 0, 1, 2, 3
P13, FacialExpression, ZoomorphicReal, Scared, 2, 2, 3, 3
P13, FacialExpression, ZoomorphicReal, Happy, 1, 4, 3, 3
P13, FacialExpression, MechaEmoji, Angry, 3, 4, 3, 3
P13, FacialExpression, MechaEmoji, Sad, 2, 4, 3, 3
P13, FacialExpression, MechaEmoji, Surprised, 5, 2, 2, 2
P13, FacialExpression, MechaEmoji, Scared, 4, 2, 2, 2
P13, FacialExpression, MechaEmoji, Happy, 1, 4, 3, 3
P13, FacialExpression, ZoomorphicAbs, Angry, 0, 1, 2, 2
P13, FacialExpression, ZoomorphicAbs, Scared, 5, 3, 3, 3
P13, FacialExpression, ZoomorphicAbs, Surprised, 5, 2, 3, 3
P13, FacialExpression, ZoomorphicAbs, Sad, 2, 2, 3, 3
P13, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 3, 3
P13, FacialExpression, MechaScreenFace, Happy, 1, 1, 2, 3
P13, FacialExpression, MechaScreenFace, Scared, 2, 3, 3, 3
P13, FacialExpression, MechaScreenFace, Sad, 2, 3, 3, 3
P13, FacialExpression, MechaScreenFace, Angry, 3, 4, 3, 3
P13, FacialExpression, MechaScreenFace, Surprised, 5, 1, 3, 3
P13, Sound, Beeps, Scared, 0, 1, 1, 2
P13, Sound, Beeps, Happy, 1, 2, 2, 3
P13, Sound, Beeps, Angry, 3, 1, 1, 1
P13, Sound, Beeps, Surprised, 5, 2, 1, 1
P13, Sound, Beeps, Sad, 2, 2, 2, 2
P13, Sound, CatNoises, Happy, 0, 2, 2, 3
P13, Sound, CatNoises, Scared, 4, 2, 3, 3
P13, Sound, CatNoises, Sad, 4, 2, 3, 3
P13, Sound, CatNoises, Angry, 3, 4, 3, 3
P13, Sound, CatNoises, Surprised, 3, 2, 3, 3
P13, Sound, Animalese, Sad, 0, 1, 1, 3
P13, Sound, Animalese, Scared, 0, 1, 2, 3
P13, Sound, Animalese, Angry, 0, 1, 2, 3
P13, Sound, Animalese, Happy, 4, 1, 2, 3
P13, Sound, Animalese, Surprised, 0, 1, 2, 3
P13, Sound, Musical, Surprised, 5, 1, 2, 3
P13, Sound, Musical, Sad, 2, 2, 3, 3
P13, Sound, Musical, Scared, 5, 2, 2, 2
P13, Sound, Musical, Angry, 4, 3, 2, 2
P13, Sound, Musical, Happy, 1, 4, 3, 3
P13, Sound, HumanNoises, Happy, 1, 4, 3, 2
P13, Sound, HumanNoises, Sad, 2, 4, 3, 2
P13, Sound, HumanNoises, Angry, 3, 4, 2, 2
P13, Sound, HumanNoises, Surprised, 5, 4, 3, 2
P13, Sound, HumanNoises, Scared, 4, 4, 3, 2
