P14, Sound, Animalese, Scared, 5, 1, 1, 2
P14, Sound, Animalese, Surprised, 1, 2, 2, 2
P14, Sound, Animalese, Happy, 1, 2, 2, 2
P14, Sound, Animalese, Angry, 3, 2, 1, 2
P14, Sound, Animalese, Sad, 3, 1, 2, 2
P14, Sound, HumanNoises, Sad, 2, 5, 4, 4
P14, Sound, HumanNoises, Happy, 1, 5, 4, 4
P14, Sound, HumanNoises, Scared, 5, 4, 4, 5
P14, Sound, HumanNoises, Surprised, 4, 4, 4, 5
P14, Sound, HumanNoises, Angry, 3, 5, 4, 5
P14, Sound, Beeps, Surprised, 0, 1, 1, 1
P14, Sound, Beeps, Happy, 1, 2, 4, 3
P14, Sound, Beeps, Angry, 3, 2, 1, 2
P14, Sound, Beeps, Sad, 2, 4, 4, 4
P14, Sound, Beeps, Scared, 4, 1, 3, 3
P14, Sound, Musical, Scared, 1, 2, 2, 2
P14, Sound, Musical, Angry, 2, 1, 1, 2
P14, Sound, Musical, Happy, 1, 2, 2, 1
P14, Sound, Musical, Surprised, 2, 1, 1, 1
P14, Sound, Musical, Sad, 2, 2, 2, 2
P14, Sound, CatNoises, Surprised, 3, 5, 4, 4
P14, Sound, CatNoises, Angry, 4, 5, 4, 4
P14, Sound, CatNoises, Happy, 1, 5, 5, 5
P14, Sound, CatNoises, Scared, 2, 4, 5, 4
P14, Sound, CatNoises, Sad, 2, 5, 4, 4
P14, FacialExpression, AnthroManga, Happy, 1, 5, 5, 5
P14, FacialExpression, AnthroManga, Sad, 2, 5, 5, 5
P14, FacialExpression, AnthroManga, Surprised, 5, 4, 5, 5
P14, FacialExpression, AnthroManga, Scared, 4, 5, 5, 5
P14, FacialExpression, AnthroManga, Angry, 3, 5, 5, 5
P14, FacialExpression, MechaEmoji, Angry, 3, 4, 3, 5
P14, FacialExpression, MechaEmoji, Happy, 1, 5, 3, 5
P14, FacialExpression, MechaEmoji, Surprised, 5, 3, 3, 4
P14, FacialExpression, MechaEmoji, Sad, 2, 5, 4, 4
P14, FacialExpression, MechaEmoji, Scared, 5, 2, 3, 4
P14, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P14, FacialExpression, AnthroAbs, Surprised, 1, 4, 5, 5
P14, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P14, FacialExpression, AnthroAbs, Scared, 4, 2, 4, 4
P14, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P14, FacialExpression, MechaScreenFace, Surprised, 0, 1, 2, 3
P14, FacialExpression, MechaScreenFace, Scared, 2, 3, 5, 4
P14, FacialExpression, MechaScreenFace, Angry, 3, 5, 5, 5
P14, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 5
P14, FacialExpression, MechaScreenFace, Happy, 5, 1, 3, 3
P14, FacialExpression, ZoomorphicReal, Angry, 3, 4, 5, 5
P14, FacialExpression, ZoomorphicReal, Sad, 4, 4, 5, 4
P14, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P14, FacialExpression, ZoomorphicReal, Happy, 5, 3, 4, 3
P14, FacialExpression, ZoomorphicReal, Scared, 2, 5, 5, 5
P14, FacialExpression, ZoomorphicAbs, Sad, 2, 3, 4, 4
P14, FacialExpression, ZoomorphicAbs, Scared, 2, 5, 5, 4
P14, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 4, 5
P14, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 5, 5
P14, FacialExpression, ZoomorphicAbs, Surprised, 5, 4, 5, 5
