P16, Sound, CatNoises, Scared, 3, 2, 3, 3
P16, Sound, CatNoises, Surprised, 3, 5, 4, 4
P16, Sound, CatNoises, Happy, 3, 2, 2, 2
P16, Sound, CatNoises, Angry, 3, 4, 1, 1
P16, Sound, CatNoises, Sad, 1, 4, 5, 5
P16, Sound, Beeps, Angry, 0, 1, 1, 1
P16, Sound, Beeps, Happy, 1, 1, 1, 1
P16, Sound, Beeps, Sad, 2, 2, 2, 2
P16, Sound, Beeps, Surprised, 5, 2, 2, 2
P16, Sound, Beeps, Scared, 0, 1, 1, 1
P16, Sound, Musical, Angry, 3, 2, 2, 1
P16, Sound, Musical, Scared, 1, 2, 2, 2
P16, Sound, Musical, Sad, 0, 1, 1, 1
P16, Sound, Musical, Surprised, 5, 1, 1, 1
P16, Sound, Musical, Happy, 1, 4, 2, 2
P16, Sound, Animalese, Surprised, 4, 2, 3, 3
P16, Sound, Animalese, Happy, 5, 2, 3, 3
P16, Sound, Animalese, Scared, 0, 1, 2, 2
P16, Sound, Animalese, Sad, 4, 3, 1, 2
P16, Sound, Animalese, Angry, 3, 2, 2, 2
P16, Sound, HumanNoises, Scared, 4, 5, 4, 5
P16, Sound, HumanNoises, Angry, 3, 5, 5, 5
P16, Sound, HumanNoises, Happy, 1, 5, 5, 5
P16, Sound, HumanNoises, Surprised, 5, 5, 4, 5
P16, Sound, HumanNoises, Sad, 2, 4, 5, 5
P16, FacialExpression, MechaScreenFace, Scared, 5, 3, 4, 4
P16, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 5
P16, FacialExpression, MechaScreenFace, Happy, 3, 5, 4, 5
P16, FacialExpression, MechaScreenFace, Surprised, 4, 2, 5, 5
P16, FacialExpression, MechaScreenFace, Angry, 3, 5, 4, 4
P16, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 5, 5
P16, FacialExpression, ZoomorphicAbs, Angry, 3, 2, 3, 4
P16, FacialExpression, ZoomorphicAbs, Surprised, 1, 5, 5, 5
P16, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 5
P16, FacialExpression, ZoomorphicAbs, Scared, 5, 4, 5, 4
P16, FacialExpression, MechaEmoji, Sad, 2, 2, 3, 4
P16, FacialExpression, MechaEmoji, Scared, 4, 4, 4, 5
P16, FacialExpression, MechaEmoji, Angry, 3, 5, 4, 4
P16, FacialExpression, MechaEmoji, Happy, 1, 5, 5, 5
P16, FacialExpression, MechaEmoji, Surprised, 5, 2, 3, 4
P16, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P16, FacialExpression, ZoomorphicReal, Happy, 1, 5, 5, 5
P16, FacialExpression, ZoomorphicReal, Angry, 3, 5, 4, 4
P16, FacialExpression, ZoomorphicReal, Scared, 2, 5, 5, 5
P16, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 5
P16, FacialExpression, AnthroManga, Surprised, 3, 4, 4, 3
P16, FacialExpression, AnthroManga, Sad, 2, 5, 3, 2
P16, FacialExpression, AnthroManga, Happy, 1, 5, 3, 3
P16, FacialExpression, AnthroManga, Scared, 4, 4, 4, 4
P16, FacialExpression, AnthroManga, Angry, 3, 5, 2, 2
P16, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P16, FacialExpression, AnthroAbs, Surprised, 5, 4, 4, 5
P16, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P16, FacialExpression, AnthroAbs, Scared, 2, 4, 5, 5
P16, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
