P18, Sound, HumanNoises, Happy, 1, 5, 3, 4
P18, Sound, HumanNoises, Sad, 2, 4, 3, 3
P18, Sound, HumanNoises, Scared, 5, 4, 3, 4
P18, Sound, HumanNoises, Surprised, 3, 4, 3, 3
P18, Sound, HumanNoises, Angry, 3, 5, 3, 4
P18, Sound, Musical, Scared, 0, 1, 3, 1
P18, Sound, Musical, Angry, 2, 2, 3, 2
P18, Sound, Musical, Sad, 2, 4, 3, 3
P18, Sound, Musical, Surprised, 2, 4, 3, 3
P18, Sound, Musical, Happy, 1, 4, 3, 4
P18, Sound, Animalese, Angry, 4, 4, 3, 3
P18, Sound, Animalese, Happy, 1, 4, 3, 4
P18, Sound, Animalese, Scared, 4, 3, 4, 3
P18, Sound, Animalese, Sad, 5, 3, 3, 3
P18, Sound, Animalese, Surprised, 1, 4, 3, 3
P18, Sound, CatNoises, Scared, 4, 4, 3, 4
P18, Sound, CatNoises, Happy, 4, 5, 3, 5
P18, Sound, CatNoises, Angry, 3, 4, 3, 4
P18, Sound, CatNoises, Sad, 2, 3, 3, 3
P18, Sound, CatNoises, Surprised, 4, 4, 3, 3
P18, Sound, Beeps, Happy, 1, 4, 3, 4
P18, Sound, Beeps, Scared, 4, 3, 3, 3
P18, Sound, Beeps, Sad, 5, 4, 3, 3
P18, Sound, Beeps, Angry, 5, 4, 3, 4
P18, Sound, Beeps, Surprised, 0, 3, 3, 2
P18, FacialExpression, ZoomorphicReal, Happy, 1, 4, 3, 4
P18, FacialExpression, ZoomorphicReal, Angry, 3, 5, 3, 4
P18, FacialExpression, ZoomorphicReal, Sad, 2, 4, 3, 4
P18, FacialExpression, ZoomorphicReal, Scared, 4, 4, 3, 4
P18, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 3, 4
P18, FacialExpression, AnthroAbs, Happy, 5, 4, 3, 3
P18, FacialExpression, AnthroAbs, Scared, 2, 3, 3, 4
P18, FacialExpression, AnthroAbs, Surprised, 4, 3, 3, 3
P18, FacialExpression, AnthroAbs, Sad, 2, 5, 4, 5
P18, FacialExpression, AnthroAbs, Angry, 3, 5, 4, 5
P18, FacialExpression, ZoomorphicAbs, Sad, 4, 4, 3, 3
P18, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 3, 4
P18, FacialExpression, ZoomorphicAbs, Scared, 4, 4, 3, 4
P18, FacialExpression, ZoomorphicAbs, Surprised, 5, 4, 3, 3
P18, FacialExpression, ZoomorphicAbs, Happy, 1, 3, 3, 3
P18, FacialExpression, AnthroManga, Surprised, 4, 3, 3, 3
P18, FacialExpression, AnthroManga, Angry, 3, 4, 3, 4
P18, FacialExpression, AnthroManga, Happy, 5, 3, 3, 3
P18, FacialExpression, AnthroManga, Sad, 2, 4, 3, 3
P18, FacialExpression, AnthroManga, Scared, 3, 4, 3, 4
P18, FacialExpression, MechaScreenFace, Sad, 2, 4, 3, 4
P18, FacialExpression, MechaScreenFace, Surprised, 0, 1, 2, 1
P18, FacialExpression, MechaScreenFace, Happy, 4, 4, 3, 3
P18, FacialExpression, MechaScreenFace, Angry, 3, 5, 3, 3
P18, FacialExpression, MechaScreenFace, Scared, 2, 4, 3, 3
P18, FacialExpression, MechaEmoji, Scared, 3, 5, 3, 3
P18, FacialExpression, MechaEmoji, Sad, 2, 4, 2, 3
P18, FacialExpression, MechaEmoji, Angry, 3, 3, 3, 3
P18, FacialExpression, MechaEmoji, Surprised, 1, 4, 3, 3
P18, FacialExpression, MechaEmoji, Happy, 1, 3, 3, 4
