P19, FacialExpression, AnthroAbs, Happy, 1, 5, 4, 5
P19, FacialExpression, AnthroAbs, Angry, 3, 5, 4, 3
P19, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P19, FacialExpression, AnthroAbs, Surprised, 5, 4, 4, 4
P19, FacialExpression, AnthroAbs, Scared, 4, 2, 4, 4
P19, FacialExpression, AnthroManga, Sad, 2, 3, 2, 3
P19, FacialExpression, AnthroManga, Happy, 5, 5, 5, 5
P19, FacialExpression, AnthroManga, Angry, 3, 5, 5, 4
P19, FacialExpression, AnthroManga, Scared, 5, 3, 3, 5
P19, FacialExpression, AnthroManga, Surprised, 1, 4, 4, 5
P19, FacialExpression, ZoomorphicReal, Sad, 0, 2, 3, 5
P19, FacialExpression, ZoomorphicReal, Angry, 1, 1, 2, 3
P19, FacialExpression, ZoomorphicReal, Scared, 5, 5, 3, 3
P19, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 4, 5
P19, FacialExpression, ZoomorphicReal, Happy, 1, 2, 4, 3
P19, FacialExpression, MechaEmoji, Scared, 4, 4, 5, 4
P19, FacialExpression, MechaEmoji, Angry, 3, 3, 4, 3
P19, FacialExpression, MechaEmoji, Surprised, 1, 3, 3, 3
P19, FacialExpression, MechaEmoji, Sad, 2, 4, 4, 4
P19, FacialExpression, MechaEmoji, Happy, 1, 4, 4, 3
P19, FacialExpression, ZoomorphicAbs, Surprised, 5, 4, 4, 4
P19, FacialExpression, ZoomorphicAbs, Angry, 0, 4, 3, 3
P19, FacialExpression, ZoomorphicAbs, Scared, 4, 2, 3, 3
P19, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 3, 3
P19, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 4, 3
P19, FacialExpression, MechaScreenFace, Scared, 2, 1, 2, 1
P19, FacialExpression, MechaScreenFace, Happy, 1, 2, 2, 2
P19, FacialExpression, MechaScreenFace, Surprised, 5, 5, 4, 3
P19, FacialExpression, MechaScreenFace, Angry, 3, 5, 4, 4
P19, FacialExpression, MechaScreenFace, Sad, 2, 4, 4, 3
P19, Sound, CatNoises, Happy, 1, 3, 2, 3
P19, Sound, CatNoises, Surprised, 3, 5, 2, 1
P19, Sound, CatNoises, Sad, 2, 2, 1, 1
P19, Sound, CatNoises, Angry, 3, 5, 1, 1
P19, Sound, CatNoises, Scared, 4, 2, 2, 1
P19, Sound, Musical, Surprised, 4, 1, 1, 1
P19, Sound, Musical, Happy, 1, 2, 1, 1
P19, Sound, Musical, Sad, 2, 2, 2, 1
P19, Sound, Musical, Angry, 2, 2, 1, 1
P19, Sound, Musical, Scared, 4, 2, 2, 1
P19, Sound, Beeps, Surprised, 5, 2, 2, 3
P19, Sound, Beeps, Sad, 2, 2, 4, 4
P19, Sound, Beeps, Scared, 1, 4, 4, 4
P19, Sound, Beeps, Angry, 3, 3, 4, 4
P19, Sound, Beeps, Happy, 2, 3, 4, 5
P19, Sound, HumanNoises, Surprised, 4, 4, 1, 1
P19, Sound, HumanNoises, Sad, 2, 5, 1, 1
P19, Sound, HumanNoises, Scared, 5, 4, 1, 1
P19, Sound, HumanNoises, Happy, 1, 5, 1, 1
P19, Sound, HumanNoises, Angry, 3, 5, 1, 1
P19, Sound, Animalese, Happy, 1, 4, 4, 4
P19, Sound, Animalese, Surprised, 2, 3, 4, 5
P19, Sound, Animalese, Sad, 4, 3, 4, 4
P19, Sound, Animalese, Scared, 3, 3, 4, 4
P19, Sound, Animalese, Angry, 4, 1, 1, 3
