P2, Sound, Musical, Sad, 0, 2, 2, 3
P2, Sound, Musical, Surprised, 1, 4, 3, 3
P2, Sound, Musical, Happy, 1, 5, 4, 4
P2, Sound, Musical, Scared, 4, 4, 4, 4
P2, Sound, Musical, Angry, 0, 2, 1, 2
P2, Sound, CatNoises, Surprised, 3, 4, 5, 4
P2, Sound, CatNoises, Angry, 4, 5, 4, 5
P2, Sound, CatNoises, Sad, 1, 4, 3, 3
P2, Sound, CatNoises, Scared, 2, 5, 5, 4
P2, Sound, CatNoises, Happy, 1, 5, 5, 5
P2, Sound, HumanNoises, Scared, 4, 4, 3, 3
P2, Sound, HumanNoises, Sad, 2, 2, 2, 2
P2, Sound, HumanNoises, Happy, 1, 4, 3, 4
P2, Sound, HumanNoises, Angry, 3, 4, 2, 3
P2, Sound, HumanNoises, Surprised, 5, 5, 3, 4
P2, Sound, Beeps, Surprised, 0, 1, 1, 1
P2, Sound, Beeps, Sad, 2, 2, 3, 3
P2, Sound, Beeps, Angry, 1, 2, 1, 2
P2, Sound, Beeps, Scared, 0, 1, 1, 1
P2, Sound, Beeps, Happy, 1, 4, 4, 4
P2, Sound, Animalese, Surprised, 1, 2, 4, 3
P2, Sound, Animalese, Scared, 3, 2, 2, 3
P2, Sound, Animalese, Sad, 0, 1, 2, 1
P2, Sound, Animalese, Happy, 1, 2, 4, 2
P2, Sound, Animalese, Angry, 0, 1, 1, 1
P2, FacialExpression, AnthroManga, Scared, 4, 5, 5, 5
P2, FacialExpression, AnthroManga, Angry, 3, 5, 4, 5
P2, FacialExpression, AnthroManga, Surprised, 5, 5, 5, 5
P2, FacialExpression, AnthroManga, Happy, 1, 5, 5, 5
P2, FacialExpression, AnthroManga, Sad, 2, 4, 4, 5
P2, FacialExpression, MechaEmoji, Scared, 4, 5, 5, 5
P2, FacialExpression, MechaEmoji, Surprised, 1, 2, 2, 2
P2, FacialExpression, MechaEmoji, Sad, 2, 4, 4, 4
P2, FacialExpression, MechaEmoji, Happy, 1, 4, 4, 5
P2, FacialExpression, MechaEmoji, Angry, 3, 5, 4, 5
P2, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P2, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P2, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P2, FacialExpression, AnthroAbs, Scared, 4, 4, 3, 3
P2, FacialExpression, AnthroAbs, Surprised, 5, 4, 3, 4
P2, FacialExpression, MechaScreenFace, Scared, 2, 4, 4, 3
P2, FacialExpression, MechaScreenFace, Surprised, 4, 2, 2, 1
P2, FacialExpression, MechaScreenFace, Happy, 1, 4, 3, 4
P2, FacialExpression, MechaScreenFace, Angry, 3, 5, 4, 4
P2, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 4
P2, FacialExpression, ZoomorphicReal, Sad, 2, 2, 3, 2
P2, FacialExpression, ZoomorphicReal, Surprised, 5, 4, 5, 4
P2, FacialExpression, ZoomorphicReal, Angry, 3, 5, 5, 4
P2, FacialExpression, ZoomorphicReal, Happy, 1, 5, 5, 5
P2, FacialExpression, ZoomorphicReal, Scared, 4, 5, 5, 4
P2, FacialExpression, ZoomorphicAbs, Surprised, 5, 4, 5, 4
P2, FacialExpression, ZoomorphicAbs, Angry, 3, 2, 2, 2
P2, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 4, 4
P2, FacialExpression, ZoomorphicAbs, Sad, 2, 5, 4, 4
P2, FacialExpression, ZoomorphicAbs, Scared, 4, 4, 4, 4
