P20, Sound, Beeps, Surprised, 2, 2, 2, 3
P20, Sound, Beeps, Scared, 5, 1, 1, 2
P20, Sound, Beeps, Angry, 4, 1, 1, 1
P20, Sound, Beeps, Happy, 1, 2, 2, 2
P20, Sound, Beeps, Sad, 4, 1, 2, 2
P20, Sound, Animalese, Angry, 0, 1, 1, 1
P20, Sound, Animalese, Scared, 0, 1, 1, 1
P20, Sound, Animalese, Happy, 2, 2, 1, 1
P20, Sound, Animalese, Sad, 3, 1, 1, 1
P20, Sound, Animalese, Surprised, 5, 1, 1, 1
P20, Sound, CatNoises, Happy, 3, 2, 3, 2
P20, Sound, CatNoises, Sad, 2, 2, 3, 3
P20, Sound, CatNoises, Scared, 4, 4, 3, 3
P20, Sound, CatNoises, Angry, 3, 3, 3, 3
P20, Sound, CatNoises, Surprised, 3, 4, 4, 3
P20, Sound, HumanNoises, Happy, 1, 4, 1, 1
P20, Sound, HumanNoises, Sad, 2, 4, 1, 1
P20, Sound, HumanNoises, Surprised, 5, 2, 1, 1
P20, Sound, HumanNoises, Scared, 4, 1, 1, 1
P20, Sound, HumanNoises, Angry, 3, 4, 1, 1
P20, Sound, Musical, Surprised, 0, 1, 1, 1
P20, Sound, Musical, Angry, 4, 1, 1, 1
P20, Sound, Musical, Scared, 5, 1, 1, 1
P20, Sound, Musical, Sad, 2, 2, 1, 1
P20, Sound, Musical, Happy, 1, 1, 1, 1
P20, FacialExpression, AnthroManga, Sad, 2, 5, 3, 5
P20, FacialExpression, AnthroManga, Scared, 3, 3, 4, 4
P20, FacialExpression, AnthroManga, Angry, 3, 5, 5, 5
P20, FacialExpression, AnthroManga, Surprised, 5, 2, 4, 4
P20, FacialExpression, AnthroManga, Happy, 2, 2, 3, 4
P20, FacialExpression, MechaEmoji, Surprised, 3, 5, 4, 4
P20, FacialExpression, MechaEmoji, Sad, 2, 4, 4, 4
P20, FacialExpression, MechaEmoji, Happy, 1, 5, 4, 5
P20, FacialExpression, MechaEmoji, Scared, 4, 3, 4, 4
P20, FacialExpression, MechaEmoji, Angry, 2, 3, 4, 4
P20, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P20, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P20, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P20, FacialExpression, AnthroAbs, Surprised, 5, 4, 5, 5
P20, FacialExpression, AnthroAbs, Scared, 4, 4, 5, 5
P20, FacialExpression, MechaScreenFace, Happy, 3, 2, 2, 2
P20, FacialExpression, MechaScreenFace, Scared, 2, 2, 2, 1
P20, FacialExpression, MechaScreenFace, Angry, 3, 4, 2, 2
P20, FacialExpression, MechaScreenFace, Surprised, 5, 3, 2, 1
P20, FacialExpression, MechaScreenFace, Sad, 2, 2, 2, 1
P20, FacialExpression, AnthroManga, Scared, 0, 1, 1, 1
P20, FacialExpression, AnthroManga, Angry, 3, 3, 3, 3
P20, FacialExpression, AnthroManga, Surprised, 3, 3, 3, 3
P20, FacialExpression, AnthroManga, Happy, 3, 3, 3, 3
P20, FacialExpression, AnthroManga, Sad, 3, 3, 3, 3
P20, FacialExpression, MechaEmoji, Scared, 3, 3, 3, 2
P20, FacialExpression, MechaEmoji, Surprised, 3, 3, 3, 3
P20, FacialExpression, MechaEmoji, Sad, 3, 3, 3, 3
P20, FacialExpression, MechaEmoji, Angry, 3, 3, 3, 3
P20, FacialExpression, MechaEmoji, Happy, 3, 3, 3, 3
P20, FacialExpression, AnthroAbs, Scared, 3, 3, 3, 3
P20, FacialExpression, AnthroAbs, Angry, 3, 3, 3, 3
P20, FacialExpression, AnthroAbs, Happy, 3, 3, 3, 3
P20, FacialExpression, AnthroAbs, Sad, 3, 3, 3, 3
P20, FacialExpression, AnthroAbs, Surprised, 3, 3, 3, 3
P20, FacialExpression, MechaScreenFace, Angry, 3, 3, 3, 3
P20, FacialExpression, MechaScreenFace, Happy, 3, 3, 3, 3
P20, FacialExpression, MechaScreenFace, Sad, 3, 3, 3, 3
P20, FacialExpression, MechaScreenFace, Scared, 3, 3, 3, 3
P20, FacialExpression, MechaScreenFace, Surprised, 3, 3, 3, 3
P20, FacialExpression, ZoomorphicReal, Surprised, 1, 4, 4, 4
P20, FacialExpression, ZoomorphicReal, Sad, 2, 4, 4, 5
P20, FacialExpression, ZoomorphicReal, Scared, 2, 4, 5, 5
P20, FacialExpression, ZoomorphicReal, Happy, 5, 4, 4, 4
P20, FacialExpression, ZoomorphicReal, Angry, 3, 5, 5, 5
P20, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 3, 3
P20, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 2, 2
P20, FacialExpression, ZoomorphicAbs, Scared, 4, 3, 3, 2
P20, FacialExpression, ZoomorphicAbs, Surprised, 1, 2, 3, 2
P20, FacialExpression, ZoomorphicAbs, Happy, 3, 2, 2, 2
