P21, FacialExpression, MechaEmoji, Happy, 1, 4, 4, 5
P21, FacialExpression, MechaEmoji, Scared, 4, 4, 5, 3
P21, FacialExpression, MechaEmoji, Surprised, 5, 2, 2, 2
P21, FacialExpression, MechaEmoji, Sad, 2, 5, 5, 2
P21, FacialExpression, MechaEmoji, Angry, 3, 5, 4, 3
P21, FacialExpression, MechaScreenFace, Angry, 3, 5, 4, 4
P21, FacialExpression, MechaScreenFace, Scared, 2, 3, 4, 3
P21, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 3
P21, FacialExpression, MechaScreenFace, Surprised, 4, 4, 4, 4
P21, FacialExpression, MechaScreenFace, Happy, 1, 5, 5, 5
P21, FacialExpression, AnthroManga, Surprised, 5, 4, 3, 3
P21, FacialExpression, AnthroManga, Scared, 4, 4, 4, 4
P21, FacialExpression, AnthroManga, Angry, 3, 5, 5, 4
P21, FacialExpression, AnthroManga, Happy, 1, 5, 5, 5
P21, FacialExpression, AnthroManga, Sad, 2, 5, 5, 4
P21, FacialExpression, ZoomorphicAbs, Angry, 0, 1, 2, 3
P21, FacialExpression, ZoomorphicAbs, Scared, 5, 3, 4, 5
P21, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 5
P21, FacialExpression, ZoomorphicAbs, Surprised, 1, 5, 5, 5
P21, FacialExpression, ZoomorphicAbs, Sad, 2, 5, 4, 5
P21, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P21, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P21, FacialExpression, AnthroAbs, Scared, 4, 4, 4, 4
P21, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P21, FacialExpression, AnthroAbs, Surprised, 1, 4, 3, 3
P21, FacialExpression, ZoomorphicReal, Happy, 1, 4, 3, 5
P21, FacialExpression, ZoomorphicReal, Angry, 3, 5, 5, 5
P21, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 5
P21, FacialExpression, ZoomorphicReal, Surprised, 5, 4, 4, 5
P21, FacialExpression, MechaEmoji, Surprised, 0, 1, 1, 1
P21, FacialExpression, MechaEmoji, Happy, 3, 3, 3, 3
P21, FacialExpression, MechaEmoji, Scared, 3, 3, 3, 3
P21, FacialExpression, MechaEmoji, Sad, 3, 3, 3, 3
P21, FacialExpression, MechaEmoji, Angry, 3, 3, 3, 3
P21, FacialExpression, MechaScreenFace, Surprised, 3, 3, 3, 3
P21, FacialExpression, MechaScreenFace, Scared, 3, 3, 3, 3
P21, FacialExpression, MechaScreenFace, Happy, 3, 3, 3, 3
P21, FacialExpression, MechaScreenFace, Angry, 3, 3, 3, 3
P21, FacialExpression, MechaScreenFace, Sad, 3, 3, 3, 3
P21, FacialExpression, AnthroManga, Surprised, 3, 3, 3, 3
P21, FacialExpression, AnthroManga, Scared, 3, 3, 3, 3
P21, FacialExpression, AnthroManga, Happy, 3, 3, 3, 3
P21, FacialExpression, AnthroManga, Sad, 3, 3, 3, 3
P21, FacialExpression, AnthroManga, Angry, 3, 3, 3, 3
P21, FacialExpression, ZoomorphicAbs, Happy, 3, 3, 3, 3
P21, FacialExpression, ZoomorphicAbs, Scared, 3, 3, 3, 3
P21, FacialExpression, ZoomorphicAbs, Angry, 3, 3, 3, 3
P21, FacialExpression, ZoomorphicAbs, Surprised, 3, 3, 3, 3
P21, FacialExpression, ZoomorphicAbs, Sad, 3, 3, 3, 3
P21, FacialExpression, AnthroAbs, Angry, 3, 3, 3, 3
P21, FacialExpression, AnthroAbs, Sad, 3, 3, 3, 3
P21, FacialExpression, AnthroAbs, Happy, 3, 3, 3, 3
P21, FacialExpression, AnthroAbs, Scared, 3, 3, 3, 3
P21, FacialExpression, AnthroAbs, Surprised, 3, 3, 3, 3
P21, FacialExpression, ZoomorphicReal, Happy, 1, 4, 4, 5
P21, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 5
P21, FacialExpression, ZoomorphicReal, Scared, 5, 4, 4, 5
P21, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P21, FacialExpression, ZoomorphicReal, Angry, 3, 3, 4, 5
P21, Sound, HumanNoises, Sad, 2, 5, 2, 1
P21, Sound, HumanNoises, Surprised, 5, 5, 4, 2
P21, Sound, HumanNoises, Angry, 3, 5, 2, 2
P21, Sound, HumanNoises, Scared, 4, 4, 2, 2
P21, Sound, HumanNoises, Happy, 1, 5, 2, 1
P21, Sound, Animalese, Happy, 3, 2, 2, 4
P21, Sound, Animalese, Sad, 2, 2, 3, 3
P21, Sound, Animalese, Surprised, 4, 2, 3, 3
P21, Sound, Animalese, Angry, 2, 2, 2, 3
P21, Sound, Animalese, Scared, 4, 2, 2, 3
P21, Sound, Musical, Happy, 1, 5, 2, 1
P21, Sound, Musical, Surprised, 2, 2, 2, 1
P21, Sound, Musical, Angry, 4, 3, 2, 2
P21, Sound, Musical, Scared, 4, 2, 1, 1
P21, Sound, Musical, Sad, 2, 4, 4, 1
P21, Sound, Beeps, Scared, 0, 1, 1, 1
P21, Sound, Beeps, Angry, 3, 3, 4, 3
P21, Sound, Beeps, Happy, 1, 4, 4, 4
P21, Sound, Beeps, Sad, 2, 4, 2, 2
P21, Sound, Beeps, Surprised, 4, 4, 3, 4
P21, Sound, CatNoises, Scared, 3, 4, 4, 4
P21, Sound, CatNoises, Sad, 2, 4, 5, 4
P21, Sound, CatNoises, Angry, 3, 5, 5, 5
P21, Sound, CatNoises, Surprised, 4, 4, 3, 3
P21, Sound, CatNoises, Happy, 1, 5, 5, 5
