P24, Sound, Animalese, Surprised, 1, 1, 1, 1
P24, Sound, Animalese, Angry, 2, 2, 2, 1
P24, Sound, Animalese, Scared, 0, 1, 1, 1
P24, Sound, Animalese, Happy, 4, 2, 2, 1
P24, Sound, Animalese, Sad, 0, 1, 1, 1
P24, Sound, HumanNoises, Scared, 4, 4, 3, 2
P24, Sound, HumanNoises, Happy, 1, 4, 3, 1
P24, Sound, HumanNoises, Surprised, 5, 4, 4, 1
P24, Sound, HumanNoises, Angry, 3, 5, 5, 2
P24, Sound, HumanNoises, Sad, 2, 5, 4, 3
P24, Sound, Beeps, Surprised, 0, 1, 1, 2
P24, Sound, Beeps, Scared, 0, 1, 1, 2
P24, Sound, Beeps, Angry, 1, 1, 2, 3
P24, Sound, Beeps, Happy, 0, 1, 1, 1
P24, Sound, Beeps, Sad, 2, 2, 3, 4
P24, Sound, Musical, Happy, 0, 1, 1, 1
P24, Sound, Musical, Angry, 4, 4, 3, 2
P24, Sound, Musical, Scared, 4, 4, 3, 2
P24, Sound, Musical, Sad, 2, 5, 4, 2
P24, Sound, Musical, Surprised, 2, 2, 2, 1
P24, Sound, CatNoises, Scared, 2, 2, 2, 1
P24, Sound, CatNoises, Angry, 0, 1, 1, 1
P24, Sound, CatNoises, Surprised, 3, 5, 4, 3
P24, Sound, CatNoises, Happy, 1, 4, 4, 2
P24, Sound, CatNoises, Sad, 0, 1, 3, 2
P24, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 4
P24, FacialExpression, ZoomorphicReal, Scared, 5, 4, 4, 3
P24, FacialExpression, ZoomorphicReal, Angry, 3, 2, 3, 2
P24, FacialExpression, ZoomorphicReal, Sad, 2, 3, 4, 4
P24, FacialExpression, ZoomorphicReal, Happy, 1, 4, 4, 3
P24, FacialExpression, AnthroAbs, Scared, 2, 5, 5, 4
P24, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 3
P24, FacialExpression, AnthroAbs, Surprised, 1, 5, 5, 4
P24, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 3
P24, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P24, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 3, 2
P24, FacialExpression, ZoomorphicAbs, Surprised, 1, 5, 5, 4
P24, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 3
P24, FacialExpression, ZoomorphicAbs, Scared, 2, 5, 5, 4
P24, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 5, 3
P24, FacialExpression, AnthroManga, Happy, 1, 5, 3, 2
P24, FacialExpression, AnthroManga, Sad, 2, 5, 5, 2
P24, FacialExpression, AnthroManga, Angry, 3, 5, 5, 3
P24, FacialExpression, AnthroManga, Surprised, 5, 4, 3, 1
P24, FacialExpression, AnthroManga, Scared, 4, 5, 3, 2
P24, FacialExpression, ZoomorphicReal, Surprised, 0, 1, 1, 1
P24, FacialExpression, ZoomorphicReal, Sad, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicReal, Happy, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicReal, Scared, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicReal, Angry, 3, 3, 3, 3
P24, FacialExpression, AnthroAbs, Happy, 3, 3, 3, 3
P24, FacialExpression, AnthroAbs, Scared, 3, 3, 3, 3
P24, FacialExpression, AnthroAbs, Sad, 3, 3, 3, 3
P24, FacialExpression, AnthroAbs, Angry, 3, 3, 3, 3
P24, FacialExpression, AnthroAbs, Surprised, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicAbs, Sad, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicAbs, Surprised, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicAbs, Angry, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicAbs, Scared, 3, 3, 3, 3
P24, FacialExpression, ZoomorphicAbs, Happy, 3, 3, 3, 3
P24, FacialExpression, AnthroManga, Surprised, 3, 3, 3, 3
P24, FacialExpression, AnthroManga, Happy, 3, 3, 3, 3
P24, FacialExpression, AnthroManga, Sad, 3, 3, 3, 3
P24, FacialExpression, AnthroManga, Scared, 3, 3, 3, 3
P24, FacialExpression, AnthroManga, Angry, 3, 3, 3, 3
P24, FacialExpression, MechaScreenFace, Scared, 2, 2, 4, 4
P24, FacialExpression, MechaScreenFace, Happy, 0, 1, 2, 2
P24, FacialExpression, MechaScreenFace, Surprised, 5, 4, 3, 2
P24, FacialExpression, MechaScreenFace, Angry, 3, 5, 4, 2
P24, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 3
P24, FacialExpression, MechaEmoji, Happy, 1, 4, 1, 1
P24, FacialExpression, MechaEmoji, Surprised, 4, 4, 2, 1
P24, FacialExpression, MechaEmoji, Sad, 2, 5, 4, 3
P24, FacialExpression, MechaEmoji, Angry, 3, 4, 4, 2
P24, FacialExpression, MechaEmoji, Scared, 5, 4, 2, 1
