P25, FacialExpression, AnthroAbs, Angry, 3, 5, 4, 5
P25, FacialExpression, AnthroAbs, Sad, 2, 4, 4, 5
P25, FacialExpression, AnthroAbs, Happy, 1, 4, 4, 4
P25, FacialExpression, AnthroAbs, Scared, 4, 2, 3, 3
P25, FacialExpression, AnthroAbs, Surprised, 5, 4, 3, 3
P25, FacialExpression, AnthroManga, Angry, 3, 5, 4, 4
P25, FacialExpression, AnthroManga, Surprised, 4, 2, 4, 2
P25, FacialExpression, AnthroManga, Scared, 4, 4, 4, 4
P25, FacialExpression, AnthroManga, Happy, 1, 4, 4, 4
P25, FacialExpression, AnthroManga, Sad, 2, 4, 3, 4
P25, FacialExpression, ZoomorphicReal, Surprised, 1, 2, 2, 4
P25, FacialExpression, ZoomorphicReal, Scared, 4, 2, 3, 4
P25, FacialExpression, ZoomorphicReal, Angry, 3, 4, 3, 4
P25, FacialExpression, ZoomorphicReal, Sad, 0, 2, 1, 2
P25, FacialExpression, ZoomorphicReal, Happy, 5, 2, 2, 3
P25, FacialExpression, MechaEmoji, Angry, 3, 3, 2, 3
P25, FacialExpression, MechaEmoji, Surprised, 1, 2, 2, 2
P25, FacialExpression, MechaEmoji, Happy, 1, 3, 2, 1
P25, FacialExpression, MechaEmoji, Scared, 5, 4, 3, 3
P25, FacialExpression, MechaEmoji, Sad, 2, 3, 2, 2
P25, FacialExpression, ZoomorphicAbs, Sad, 0, 4, 3, 4
P25, FacialExpression, ZoomorphicAbs, Angry, 3, 3, 3, 4
P25, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 3, 4
P25, FacialExpression, ZoomorphicAbs, Scared, 4, 2, 3, 3
P25, FacialExpression, ZoomorphicAbs, Surprised, 5, 4, 4, 4
P25, FacialExpression, MechaScreenFace, Angry, 3, 4, 1, 1
P25, FacialExpression, MechaScreenFace, Sad, 2, 5, 4, 4
P25, FacialExpression, MechaScreenFace, Scared, 0, 1, 1, 2
P25, FacialExpression, MechaScreenFace, Happy, 1, 4, 2, 2
P25, FacialExpression, MechaScreenFace, Surprised, 5, 2, 3, 2
P25, Sound, Musical, Sad, 2, 2, 4, 2
P25, Sound, Musical, Happy, 1, 4, 4, 4
P25, Sound, Musical, Angry, 4, 4, 4, 4
P25, Sound, Musical, Scared, 5, 3, 4, 3
P25, Sound, Musical, Surprised, 0, 2, 1, 1
P25, Sound, HumanNoises, Angry, 4, 1, 2, 1
P25, Sound, HumanNoises, Sad, 2, 5, 1, 1
P25, Sound, HumanNoises, Surprised, 4, 4, 2, 1
P25, Sound, HumanNoises, Happy, 1, 2, 1, 1
P25, Sound, HumanNoises, Scared, 4, 2, 1, 1
P25, Sound, CatNoises, Sad, 0, 4, 5, 5
P25, Sound, CatNoises, Scared, 1, 4, 4, 4
P25, Sound, CatNoises, Surprised, 3, 5, 4, 4
P25, Sound, CatNoises, Angry, 3, 5, 4, 4
P25, Sound, CatNoises, Happy, 1, 4, 4, 5
P25, Sound, Animalese, Sad, 0, 2, 1, 1
P25, Sound, Animalese, Surprised, 1, 1, 1, 2
P25, Sound, Animalese, Angry, 3, 3, 2, 2
P25, Sound, Animalese, Scared, 5, 2, 1, 1
P25, Sound, Animalese, Happy, 1, 1, 1, 1
P25, Sound, Beeps, Surprised, 1, 2, 3, 4
P25, Sound, Beeps, Happy, 1, 4, 4, 4
P25, Sound, Beeps, Scared, 0, 1, 1, 1
P25, Sound, Beeps, Sad, 2, 5, 4, 4
P25, Sound, Beeps, Angry, 3, 5, 4, 4
