P3, FacialExpression, MechaEmoji, Surprised, 4, 2, 2, 2
P3, FacialExpression, MechaEmoji, Angry, 3, 5, 2, 2
P3, FacialExpression, MechaEmoji, Happy, 1, 1, 1, 2
P3, FacialExpression, MechaEmoji, Scared, 3, 4, 1, 2
P3, FacialExpression, MechaEmoji, Sad, 2, 2, 2, 2
P3, FacialExpression, MechaScreenFace, Scared, 0, 1, 2, 1
P3, FacialExpression, MechaScreenFace, Sad, 2, 1, 2, 1
P3, FacialExpression, MechaScreenFace, Happy, 3, 1, 1, 2
P3, FacialExpression, MechaScreenFace, Surprised, 5, 1, 2, 3
P3, FacialExpression, MechaScreenFace, Angry, 3, 5, 3, 4
P3, FacialExpression, AnthroManga, Angry, 3, 1, 2, 4
P3, FacialExpression, AnthroManga, Surprised, 1, 5, 1, 4
P3, FacialExpression, AnthroManga, Happy, 1, 5, 2, 5
P3, FacialExpression, AnthroManga, Scared, 4, 2, 4, 5
P3, FacialExpression, AnthroManga, Sad, 2, 5, 5, 5
P3, FacialExpression, ZoomorphicAbs, Surprised, 1, 4, 2, 5
P3, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 2, 4
P3, FacialExpression, ZoomorphicAbs, Scared, 4, 5, 4, 5
P3, FacialExpression, ZoomorphicAbs, Angry, 0, 2, 1, 4
P3, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 4, 5
P3, FacialExpression, AnthroAbs, Scared, 4, 2, 4, 4
P3, FacialExpression, AnthroAbs, Happy, 1, 5, 2, 5
P3, FacialExpression, AnthroAbs, Surprised, 1, 4, 2, 4
P3, FacialExpression, AnthroAbs, Sad, 2, 5, 4, 5
P3, FacialExpression, AnthroAbs, Angry, 3, 5, 2, 5
P3, FacialExpression, ZoomorphicReal, Sad, 0, 2, 3, 4
P3, FacialExpression, ZoomorphicReal, Angry, 3, 5, 2, 5
P3, FacialExpression, ZoomorphicReal, Scared, 5, 3, 2, 4
P3, FacialExpression, ZoomorphicReal, Surprised, 1, 4, 2, 4
P3, FacialExpression, ZoomorphicReal, Happy, 1, 5, 3, 4
P3, Sound, Beeps, Scared, 1, 1, 2, 2
P3, Sound, Beeps, Angry, 3, 2, 1, 4
P3, Sound, Beeps, Happy, 1, 4, 2, 4
P3, Sound, Beeps, Surprised, 4, 1, 2, 2
P3, Sound, Beeps, Sad, 2, 4, 3, 3
P3, Sound, CatNoises, Sad, 2, 1, 4, 1
P3, Sound, CatNoises, Happy, 1, 2, 4, 1
P3, Sound, CatNoises, Scared, 2, 2, 4, 2
P3, Sound, CatNoises, Surprised, 3, 4, 2, 3
P3, Sound, CatNoises, Angry, 4, 2, 2, 2
P3, Sound, Animalese, Angry, 1, 2, 3, 5
P3, Sound, Animalese, Surprised, 1, 4, 4, 5
P3, Sound, Animalese, Scared, 4, 2, 3, 5
P3, Sound, Animalese, Sad, 2, 1, 2, 4
P3, Sound, Animalese, Happy, 1, 2, 4, 4
P3, Sound, Musical, Surprised, 3, 3, 3, 1
P3, Sound, Musical, Sad, 2, 2, 2, 1
P3, Sound, Musical, Scared, 4, 2, 4, 1
P3, Sound, Musical, Angry, 4, 2, 4, 1
P3, Sound, Musical, Happy, 1, 5, 2, 5
P3, Sound, HumanNoises, Happy, 1, 4, 2, 1
P3, Sound, HumanNoises, Angry, 3, 4, 1, 1
P3, Sound, HumanNoises, Scared, 5, 5, 2, 1
P3, Sound, HumanNoises, Sad, 2, 5, 1, 1
P3, Sound, HumanNoises, Surprised, 5, 5, 2, 1
