P4, Sound, Animalese, Angry, 5, 2, 2, 2
P4, Sound, Animalese, Scared, 3, 2, 2, 2
P4, Sound, Animalese, Sad, 5, 2, 2, 1
P4, Sound, Animalese, Happy, 1, 4, 4, 3
P4, Sound, Animalese, Surprised, 1, 4, 4, 3
P4, Sound, HumanNoises, Surprised, 5, 3, 2, 2
P4, Sound, HumanNoises, Scared, 3, 4, 2, 3
P4, Sound, HumanNoises, Sad, 2, 5, 1, 2
P4, Sound, HumanNoises, Angry, 3, 5, 2, 2
P4, Sound, HumanNoises, Happy, 1, 5, 1, 2
P4, Sound, Beeps, Angry, 3, 3, 2, 2
P4, Sound, Beeps, Scared, 0, 2, 1, 1
P4, Sound, Beeps, Happy, 1, 4, 2, 3
P4, Sound, Beeps, Sad, 2, 3, 2, 2
P4, Sound, Beeps, Surprised, 4, 2, 2, 2
P4, Sound, Musical, Surprised, 0, 1, 1, 1
P4, Sound, Musical, Scared, 0, 1, 1, 1
P4, Sound, Musical, Angry, 0, 1, 1, 1
P4, Sound, Musical, Happy, 1, 4, 3, 3
P4, Sound, Musical, Sad, 2, 4, 3, 2
P4, Sound, CatNoises, Scared, 2, 5, 1, 1
P4, Sound, CatNoises, Surprised, 3, 5, 4, 3
P4, Sound, CatNoises, Sad, 2, 4, 3, 3
P4, Sound, CatNoises, Angry, 0, 1, 1, 1
P4, Sound, CatNoises, Happy, 0, 3, 3, 1
P4, FacialExpression, MechaScreenFace, Surprised, 3, 3, 3, 3
P4, FacialExpression, MechaScreenFace, Happy, 3, 4, 4, 4
P4, FacialExpression, MechaScreenFace, Sad, 2, 5, 4, 5
P4, FacialExpression, MechaScreenFace, Scared, 2, 4, 4, 4
P4, FacialExpression, MechaScreenFace, Angry, 3, 5, 5, 4
P4, FacialExpression, ZoomorphicAbs, Sad, 2, 5, 5, 5
P4, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 5, 4
P4, FacialExpression, ZoomorphicAbs, Surprised, 1, 4, 5, 5
P4, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 5
P4, FacialExpression, ZoomorphicAbs, Scared, 2, 4, 5, 5
P4, FacialExpression, MechaEmoji, Scared, 2, 4, 3, 3
P4, FacialExpression, MechaEmoji, Angry, 3, 5, 2, 3
P4, FacialExpression, MechaEmoji, Happy, 1, 5, 2, 3
P4, FacialExpression, MechaEmoji, Sad, 2, 5, 2, 3
P4, FacialExpression, MechaEmoji, Surprised, 5, 3, 1, 3
P4, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P4, FacialExpression, ZoomorphicReal, Scared, 2, 5, 5, 5
P4, FacialExpression, ZoomorphicReal, Angry, 3, 4, 4, 5
P4, FacialExpression, ZoomorphicReal, Happy, 1, 4, 3, 5
P4, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 5
P4, FacialExpression, AnthroManga, Angry, 3, 5, 3, 4
P4, FacialExpression, AnthroManga, Scared, 4, 4, 4, 4
P4, FacialExpression, AnthroManga, Sad, 2, 5, 2, 2
P4, FacialExpression, AnthroManga, Happy, 1, 4, 4, 4
P4, FacialExpression, AnthroManga, Surprised, 5, 4, 4, 4
P4, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P4, FacialExpression, AnthroAbs, Surprised, 5, 3, 5, 5
P4, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P4, FacialExpression, AnthroAbs, Scared, 2, 5, 5, 5
P4, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
