P5, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 2, 2
P5, FacialExpression, ZoomorphicAbs, Scared, 2, 3, 2, 2
P5, FacialExpression, ZoomorphicAbs, Surprised, 1, 4, 2, 2
P5, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 3, 3
P5, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 3, 2
P5, FacialExpression, ZoomorphicReal, Sad, 2, 4, 4, 3
P5, FacialExpression, ZoomorphicReal, Angry, 3, 2, 3, 3
P5, FacialExpression, ZoomorphicReal, Happy, 1, 4, 4, 3
P5, FacialExpression, ZoomorphicReal, Surprised, 1, 4, 4, 3
P5, FacialExpression, ZoomorphicReal, Scared, 2, 4, 4, 3
P5, FacialExpression, MechaScreenFace, Surprised, 0, 1, 1, 1
P5, FacialExpression, MechaScreenFace, Happy, 3, 1, 2, 2
P5, FacialExpression, MechaScreenFace, Sad, 2, 2, 2, 2
P5, FacialExpression, MechaScreenFace, Scared, 5, 1, 1, 2
P5, FacialExpression, MechaScreenFace, Angry, 3, 2, 2, 2
P5, FacialExpression, AnthroAbs, Happy, 1, 4, 3, 2
P5, FacialExpression, AnthroAbs, Scared, 2, 4, 3, 4
P5, FacialExpression, AnthroAbs, Sad, 2, 3, 3, 4
P5, FacialExpression, AnthroAbs, Angry, 3, 4, 3, 3
P5, FacialExpression, AnthroAbs, Surprised, 5, 3, 3, 3
P5, FacialExpression, MechaEmoji, Scared, 4, 2, 3, 3
P5, FacialExpression, MechaEmoji, Angry, 3, 2, 2, 2
P5, FacialExpression, MechaEmoji, Sad, 2, 3, 2, 2
P5, FacialExpression, MechaEmoji, Surprised, 5, 2, 1, 1
P5, FacialExpression, MechaEmoji, Happy, 1, 2, 1, 1
P5, FacialExpression, AnthroManga, Scared, 4, 1, 1, 1
P5, FacialExpression, AnthroManga, Happy, 1, 2, 1, 2
P5, FacialExpression, AnthroManga, Surprised, 5, 2, 2, 2
P5, FacialExpression, AnthroManga, Sad, 2, 2, 1, 1
P5, FacialExpression, AnthroManga, Angry, 3, 2, 1, 1
P5, Sound, Musical, Sad, 1, 1, 2, 2
P5, Sound, Musical, Happy, 1, 2, 2, 1
P5, Sound, Musical, Angry, 3, 2, 1, 1
P5, Sound, Musical, Scared, 4, 2, 1, 2
P5, Sound, Musical, Surprised, 5, 2, 2, 1
P5, Sound, HumanNoises, Angry, 3, 3, 3, 2
P5, Sound, HumanNoises, Surprised, 5, 2, 2, 2
P5, Sound, HumanNoises, Scared, 4, 3, 2, 2
P5, Sound, HumanNoises, Happy, 1, 5, 3, 2
P5, Sound, HumanNoises, Sad, 2, 4, 2, 2
P5, Sound, CatNoises, Sad, 2, 2, 4, 5
P5, Sound, CatNoises, Surprised, 3, 5, 5, 5
P5, Sound, CatNoises, Angry, 3, 4, 5, 5
P5, Sound, CatNoises, Scared, 4, 4, 5, 5
P5, Sound, CatNoises, Happy, 5, 3, 4, 5
P5, Sound, Animalese, Surprised, 5, 1, 2, 3
P5, Sound, Animalese, Angry, 5, 1, 2, 3
P5, Sound, Animalese, Scared, 5, 1, 2, 2
P5, Sound, Animalese, Sad, 4, 1, 1, 2
P5, Sound, Animalese, Happy, 4, 1, 2, 2
P5, Sound, Beeps, Happy, 4, 1, 2, 1
P5, Sound, Beeps, Angry, 5, 1, 1, 1
P5, Sound, Beeps, Sad, 2, 1, 1, 2
P5, Sound, Beeps, Surprised, 4, 2, 1, 2
P5, Sound, Beeps, Scared, 5, 1, 1, 2
