P6, Sound, CatNoises, Angry, 1, 2, 3, 3
P6, Sound, CatNoises, Scared, 3, 2, 3, 3
P6, Sound, CatNoises, Happy, 3, 2, 3, 3
P6, Sound, CatNoises, Surprised, 3, 4, 3, 3
P6, Sound, CatNoises, Sad, 1, 4, 3, 3
P6, Sound, Beeps, Surprised, 4, 2, 3, 3
P6, Sound, Beeps, Angry, 5, 1, 3, 3
P6, Sound, Beeps, Happy, 1, 4, 3, 3
P6, Sound, Beeps, Scared, 4, 2, 3, 3
P6, Sound, Beeps, Sad, 2, 4, 2, 3
P6, Sound, Musical, Angry, 4, 4, 3, 3
P6, Sound, Musical, Surprised, 3, 4, 3, 3
P6, Sound, Musical, Sad, 2, 4, 4, 3
P6, Sound, Musical, Scared, 5, 4, 3, 4
P6, Sound, Musical, Happy, 1, 4, 3, 3
P6, Sound, Animalese, Angry, 3, 2, 3, 3
P6, Sound, Animalese, Surprised, 3, 2, 3, 3
P6, Sound, Animalese, Sad, 3, 2, 3, 3
P6, Sound, Animalese, Happy, 3, 4, 2, 2
P6, Sound, Animalese, Scared, 4, 2, 3, 3
P6, Sound, HumanNoises, Angry, 3, 4, 2, 3
P6, Sound, HumanNoises, Happy, 1, 4, 3, 3
P6, Sound, HumanNoises, Surprised, 3, 4, 3, 3
P6, Sound, HumanNoises, Sad, 2, 4, 3, 3
P6, Sound, HumanNoises, Scared, 5, 2, 3, 3
P6, FacialExpression, ZoomorphicReal, Angry, 3, 2, 1, 3
P6, FacialExpression, ZoomorphicReal, Surprised, 1, 4, 3, 3
P6, FacialExpression, ZoomorphicReal, Sad, 2, 4, 3, 3
P6, FacialExpression, ZoomorphicReal, Happy, 5, 4, 3, 3
P6, FacialExpression, ZoomorphicReal, Scared, 4, 4, 3, 3
P6, FacialExpression, AnthroAbs, Angry, 3, 4, 3, 3
P6, FacialExpression, AnthroAbs, Scared, 4, 4, 3, 3
P6, FacialExpression, AnthroAbs, Happy, 1, 4, 4, 4
P6, FacialExpression, AnthroAbs, Sad, 2, 4, 3, 3
P6, FacialExpression, AnthroAbs, Surprised, 5, 4, 3, 3
P6, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 3, 3
P6, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 3, 3
P6, FacialExpression, ZoomorphicAbs, Happy, 5, 4, 3, 3
P6, FacialExpression, ZoomorphicAbs, Scared, 2, 4, 3, 3
P6, FacialExpression, ZoomorphicAbs, Surprised, 1, 4, 4, 4
P6, FacialExpression, AnthroManga, Sad, 2, 5, 3, 3
P6, FacialExpression, AnthroManga, Happy, 1, 5, 4, 4
P6, FacialExpression, AnthroManga, Scared, 4, 4, 3, 3
P6, FacialExpression, AnthroManga, Surprised, 5, 4, 3, 3
P6, FacialExpression, AnthroManga, Angry, 3, 5, 1, 3
P6, FacialExpression, MechaScreenFace, Happy, 4, 4, 3, 3
P6, FacialExpression, MechaScreenFace, Scared, 4, 4, 3, 3
P6, FacialExpression, MechaScreenFace, Surprised, 3, 4, 3, 3
P6, FacialExpression, MechaScreenFace, Angry, 3, 4, 2, 3
P6, FacialExpression, MechaScreenFace, Sad, 2, 4, 3, 3
P6, FacialExpression, MechaEmoji, Scared, 4, 4, 3, 3
P6, FacialExpression, MechaEmoji, Angry, 3, 4, 3, 3
P6, FacialExpression, MechaEmoji, Sad, 2, 4, 3, 3
P6, FacialExpression, MechaEmoji, Surprised, 1, 4, 4, 3
P6, FacialExpression, MechaEmoji, Happy, 1, 4, 3, 3
