P7, FacialExpression, AnthroAbs, Scared, 2, 3, 3, 3
P7, FacialExpression, AnthroAbs, Surprised, 1, 5, 3, 4
P7, FacialExpression, AnthroAbs, Happy, 1, 5, 4, 4
P7, FacialExpression, AnthroAbs, Sad, 2, 5, 4, 4
P7, FacialExpression, AnthroAbs, Angry, 3, 5, 3, 3
P7, FacialExpression, AnthroManga, Happy, 1, 5, 4, 4
P7, FacialExpression, AnthroManga, Sad, 2, 5, 5, 4
P7, FacialExpression, AnthroManga, Surprised, 5, 4, 3, 4
P7, FacialExpression, AnthroManga, Angry, 3, 5, 2, 2
P7, FacialExpression, AnthroManga, Scared, 4, 4, 4, 3
P7, FacialExpression, ZoomorphicReal, Happy, 1, 4, 4, 4
P7, FacialExpression, ZoomorphicReal, Sad, 2, 4, 4, 4
P7, FacialExpression, ZoomorphicReal, Angry, 3, 4, 2, 3
P7, FacialExpression, ZoomorphicReal, Scared, 2, 4, 5, 4
P7, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P7, FacialExpression, MechaEmoji, Sad, 2, 5, 4, 4
P7, FacialExpression, MechaEmoji, Scared, 5, 4, 4, 4
P7, FacialExpression, MechaEmoji, Surprised, 4, 2, 2, 3
P7, FacialExpression, MechaEmoji, Angry, 3, 5, 4, 3
P7, FacialExpression, MechaEmoji, Happy, 1, 5, 4, 5
P7, FacialExpression, ZoomorphicAbs, Angry, 0, 1, 1, 3
P7, FacialExpression, ZoomorphicAbs, Scared, 5, 5, 4, 4
P7, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 5
P7, FacialExpression, ZoomorphicAbs, Surprised, 1, 5, 5, 5
P7, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 4, 4
P7, FacialExpression, MechaScreenFace, Surprised, 5, 3, 2, 3
P7, FacialExpression, MechaScreenFace, Scared, 4, 1, 1, 2
P7, FacialExpression, MechaScreenFace, Happy, 1, 5, 4, 4
P7, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 4
P7, FacialExpression, MechaScreenFace, Angry, 3, 5, 4, 2
P7, Sound, Animalese, Angry, 0, 1, 1, 3
P7, Sound, Animalese, Surprised, 3, 4, 4, 3
P7, Sound, Animalese, Sad, 2, 2, 3, 3
P7, Sound, Animalese, Scared, 4, 2, 2, 2
P7, Sound, Animalese, Happy, 1, 4, 4, 4
P7, Sound, Beeps, Happy, 1, 4, 3, 4
P7, Sound, Beeps, Surprised, 4, 5, 5, 4
P7, Sound, Beeps, Sad, 2, 5, 5, 4
P7, Sound, Beeps, Angry, 3, 5, 4, 3
P7, Sound, Beeps, Scared, 2, 2, 4, 3
P7, Sound, HumanNoises, Surprised, 5, 4, 2, 3
P7, Sound, HumanNoises, Scared, 4, 4, 4, 4
P7, Sound, HumanNoises, Angry, 3, 5, 5, 3
P7, Sound, HumanNoises, Sad, 2, 5, 4, 4
P7, Sound, HumanNoises, Happy, 1, 5, 4, 5
P7, Sound, CatNoises, Angry, 3, 5, 5, 5
P7, Sound, CatNoises, Sad, 1, 4, 5, 5
P7, Sound, CatNoises, Surprised, 3, 5, 5, 5
P7, Sound, CatNoises, Happy, 1, 5, 5, 5
P7, Sound, CatNoises, Scared, 5, 2, 5, 5
P7, Sound, Musical, Angry, 3, 2, 2, 1
P7, Sound, Musical, Sad, 2, 2, 2, 2
P7, Sound, Musical, Surprised, 5, 2, 2, 1
P7, Sound, Musical, Happy, 1, 5, 2, 1
P7, Sound, Musical, Scared, 4, 4, 3, 2
