P8, Sound, HumanNoises, Angry, 3, 4, 1, 3
P8, Sound, HumanNoises, Sad, 1, 5, 5, 5
P8, Sound, HumanNoises, Happy, 1, 4, 3, 4
P8, Sound, HumanNoises, Scared, 4, 4, 4, 2
P8, Sound, HumanNoises, Surprised, 5, 2, 2, 3
P8, Sound, Musical, Happy, 1, 4, 3, 4
P8, Sound, Musical, Angry, 4, 1, 2, 2
P8, Sound, Musical, Surprised, 2, 4, 3, 4
P8, Sound, Musical, Scared, 3, 4, 3, 4
P8, Sound, Musical, Sad, 0, 1, 1, 1
P8, Sound, Animalese, Scared, 3, 4, 3, 2
P8, Sound, Animalese, Happy, 2, 2, 3, 4
P8, Sound, Animalese, Surprised, 5, 2, 1, 2
P8, Sound, Animalese, Sad, 3, 4, 4, 5
P8, Sound, Animalese, Angry, 0, 1, 1, 1
P8, Sound, CatNoises, Scared, 3, 5, 4, 5
P8, Sound, CatNoises, Angry, 5, 4, 3, 4
P8, Sound, CatNoises, Happy, 2, 5, 4, 5
P8, Sound, CatNoises, Surprised, 3, 5, 2, 5
P8, Sound, CatNoises, Sad, 5, 4, 2, 4
P8, Sound, Beeps, Scared, 0, 1, 1, 1
P8, Sound, Beeps, Angry, 5, 4, 2, 4
P8, Sound, Beeps, Happy, 0, 1, 1, 1
P8, Sound, Beeps, Sad, 5, 4, 4, 4
P8, Sound, Beeps, Surprised, 2, 4, 3, 4
P8, FacialExpression, AnthroManga, Scared, 2, 5, 5, 4
P8, FacialExpression, AnthroManga, Angry, 3, 5, 4, 5
P8, FacialExpression, AnthroManga, Sad, 2, 5, 5, 5
P8, FacialExpression, AnthroManga, Surprised, 5, 4, 4, 4
P8, FacialExpression, AnthroManga, Happy, 1, 5, 5, 5
P8, FacialExpression, MechaEmoji, Scared, 5, 5, 4, 5
P8, FacialExpression, MechaEmoji, Angry, 3, 5, 4, 5
P8, FacialExpression, MechaEmoji, Surprised, 1, 5, 5, 5
P8, FacialExpression, MechaEmoji, Sad, 2, 5, 4, 5
P8, FacialExpression, MechaEmoji, Happy, 1, 5, 4, 5
P8, FacialExpression, AnthroAbs, Happy, 5, 4, 4, 5
P8, FacialExpression, AnthroAbs, Angry, 3, 5, 4, 5
P8, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 4
P8, FacialExpression, AnthroAbs, Surprised, 1, 4, 4, 4
P8, FacialExpression, AnthroAbs, Scared, 2, 5, 4, 4
P8, FacialExpression, MechaScreenFace, Angry, 3, 4, 4, 4
P8, FacialExpression, MechaScreenFace, Scared, 4, 2, 4, 3
P8, FacialExpression, MechaScreenFace, Happy, 2, 5, 4, 4
P8, FacialExpression, MechaScreenFace, Sad, 0, 1, 1, 1
P8, FacialExpression, MechaScreenFace, Surprised, 1, 4, 4, 4
P8, FacialExpression, ZoomorphicReal, Happy, 1, 5, 5, 4
P8, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 4
P8, FacialExpression, ZoomorphicReal, Surprised, 5, 5, 5, 4
P8, FacialExpression, ZoomorphicReal, Angry, 3, 5, 5, 4
P8, FacialExpression, ZoomorphicReal, Scared, 4, 4, 4, 5
P8, FacialExpression, ZoomorphicAbs, Scared, 2, 4, 4, 5
P8, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 4, 4
P8, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 4
P8, FacialExpression, ZoomorphicAbs, Surprised, 5, 5, 4, 5
P8, FacialExpression, ZoomorphicAbs, Angry, 3, 5, 5, 4
