P9, FacialExpression, MechaEmoji, Angry, 4, 4, 4, 4
P9, FacialExpression, MechaEmoji, Scared, 0, 1, 2, 4
P9, FacialExpression, MechaEmoji, Surprised, 5, 4, 4, 4
P9, FacialExpression, MechaEmoji, Sad, 2, 5, 5, 5
P9, FacialExpression, MechaEmoji, Happy, 1, 5, 5, 5
P9, FacialExpression, MechaScreenFace, Angry, 3, 5, 4, 4
P9, FacialExpression, MechaScreenFace, Scared, 5, 2, 3, 3
P9, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 5
P9, FacialExpression, MechaScreenFace, Happy, 1, 2, 2, 3
P9, FacialExpression, MechaScreenFace, Surprised, 5, 4, 4, 4
P9, FacialExpression, AnthroManga, Sad, 2, 5, 5, 5
P9, FacialExpression, AnthroManga, Happy, 1, 5, 5, 5
P9, FacialExpression, AnthroManga, Surprised, 5, 5, 5, 5
P9, FacialExpression, AnthroManga, Scared, 4, 2, 3, 4
P9, FacialExpression, AnthroManga, Angry, 3, 5, 5, 5
P9, FacialExpression, ZoomorphicAbs, Scared, 0, 2, 3, 3
P9, FacialExpression, ZoomorphicAbs, Sad, 1, 2, 2, 4
P9, FacialExpression, ZoomorphicAbs, Angry, 3, 2, 3, 4
P9, FacialExpression, ZoomorphicAbs, Surprised, 1, 5, 5, 5
P9, FacialExpression, ZoomorphicAbs, Happy, 1, 4, 4, 4
P9, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P9, FacialExpression, AnthroAbs, Surprised, 1, 4, 4, 4
P9, FacialExpression, AnthroAbs, Happy, 1, 4, 4, 5
P9, FacialExpression, AnthroAbs, Scared, 2, 2, 3, 2
P9, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P9, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P9, FacialExpression, ZoomorphicReal, Scared, 5, 4, 5, 4
P9, FacialExpression, ZoomorphicReal, Happy, 1, 5, 5, 5
P9, FacialExpression, ZoomorphicReal, Angry, 3, 5, 5, 5
P9, FacialExpression, ZoomorphicReal, Sad, 2, 5, 5, 5
P9, Sound, CatNoises, Surprised, 3, 5, 5, 5
P9, Sound, CatNoises, Happy, 1, 5, 5, 5
P9, Sound, CatNoises, Scared, 2, 4, 4, 5
P9, Sound, CatNoises, Angry, 3, 5, 5, 5
P9, Sound, CatNoises, Sad, 4, 2, 3, 3
P9, Sound, Musical, Sad, 2, 5, 5, 5
P9, Sound, Musical, Angry, 5, 4, 4, 4
P9, Sound, Musical, Scared, 4, 4, 4, 3
P9, Sound, Musical, Surprised, 0, 2, 2, 3
P9, Sound, Musical, Happy, 1, 4, 4, 4
P9, Sound, Beeps, Surprised, 4, 2, 2, 2
P9, Sound, Beeps, Angry, 4, 1, 1, 1
P9, Sound, Beeps, Happy, 0, 1, 1, 1
P9, Sound, Beeps, Scared, 4, 1, 1, 1
P9, Sound, Beeps, Sad, 2, 4, 4, 4
P9, Sound, HumanNoises, Sad, 1, 4, 4, 4
P9, Sound, HumanNoises, Happy, 1, 5, 5, 5
P9, Sound, HumanNoises, Surprised, 5, 5, 5, 5
P9, Sound, HumanNoises, Angry, 3, 5, 5, 5
P9, Sound, HumanNoises, Scared, 4, 4, 4, 4
P9, Sound, Animalese, Sad, 4, 2, 2, 2
P9, Sound, Animalese, Happy, 4, 4, 5, 4
P9, Sound, Animalese, Angry, 3, 2, 2, 3
P9, Sound, Animalese, Scared, 5, 1, 1, 1
P9, Sound, Animalese, Surprised, 2, 4, 4, 4
